일자,시가,고가,저가,종가,거래량
19990916,910,957,910,922,1050590.0
19990917,928,945,922,933,1579741.0
19990920,945,966,922,960,1300338.0
19990921,963,1003,960,983,2137519.0
19990922,977,977,942,945,985624.0
19990927,933,933,910,910,721819.0
19990928,893,928,893,910,389278.0
19990929,916,933,904,907,749417.0
19990930,907,928,875,875,396649.0
19991001,846,852,793,799,839752.0
19991004,770,840,770,796,384822.0
19991005,796,831,753,753,697307.0
19991006,709,782,709,758,920830.0
19991007,770,793,761,793,773929.0
19991008,776,799,758,793,1241886.0
19991011,817,840,796,805,899746.0
19991012,793,828,793,817,1006536.0
19991013,817,820,799,805,565319.0
19991014,782,817,782,790,557434.0
19991015,793,808,776,779,718048.0
19991018,776,782,747,747,676052.0
19991019,753,758,723,744,594460.0
19991020,750,823,750,796,911059.0
19991021,808,828,782,793,967969.0
19991022,782,817,779,782,775300.0
19991025,788,802,747,758,413962.0
19991026,758,793,750,764,497954.0
19991027,741,776,741,758,545093.0
19991028,764,805,744,770,809069.0
19991029,788,805,776,805,676395.0
19991101,805,817,793,805,1208289.0
19991102,805,843,796,828,2798659.0
19991103,840,840,799,814,934886.0
19991104,817,837,805,825,1074245.0
19991105,817,898,811,875,3324897.0
19991108,884,898,852,893,2746378.0
19991109,904,919,875,893,1586084.0
19991110,893,933,855,887,3817023.0
19991111,904,904,855,875,2812886.0
19991112,893,933,875,904,4796134.0
19991115,910,916,875,878,1666991.0
19991116,875,875,828,828,1329650.0
19991117,837,837,788,799,1458724.0
19991118,793,898,793,820,2927562.0
19991119,828,828,793,820,1287825.0
19991122,828,843,817,820,879005.0
19991123,834,846,811,834,1060532.0
19991124,834,843,793,823,898718.0
19991125,805,805,776,776,1211375.0
19991126,770,788,747,747,1621909.0
19991129,776,858,758,858,3201137.0
19991130,986,986,986,986,3136171.0
19991201,1132,1132,1132,1132,3670808.0
19991202,1301,1301,1301,1301,1482379.0
19991203,1493,1493,1213,1225,59942427.0
19991206,1216,1371,1117,1313,32809469.0
19991207,1295,1365,1167,1167,16010142.0
19991208,1237,1342,1184,1342,23457178.0
19991209,1380,1517,1365,1447,26697740.0
19991210,1423,1493,1301,1318,18651615.0
19991213,1358,1478,1285,1388,13161781.0
19991214,1409,1596,1400,1454,19297206.0
19991215,1394,1445,1237,1237,16212258.0
19991216,1243,1261,1128,1140,10228968.0
19991217,1165,1177,1002,1023,5907389.0
19991220,984,1116,984,1026,7303280.0
19991221,996,1026,872,872,6994371.0
19991222,875,932,815,899,6146031.0
19991223,887,1008,845,845,7234671.0
19991224,899,899,821,821,3819269.0
19991227,851,872,809,809,3165986.0
19991228,815,860,760,857,2897680.0
20000104,869,984,869,984,1609748.0
20000105,962,1115,931,981,9559439.0
20000106,1012,1024,863,875,3430639.0
20000107,869,1006,869,1006,7923439.0
20000110,1049,1105,931,944,10902962.0
20000111,962,990,925,931,5320623.0
20000112,931,962,885,894,3885942.0
20000113,894,919,869,888,2308728.0
20000114,869,891,826,838,2943125.0
20000117,844,879,838,841,2917034.0
20000118,838,866,801,813,1925577.0
20000119,801,857,789,798,3573817.0
20000120,801,807,730,758,1652427.0
20000121,758,804,726,745,2534688.0
20000124,770,844,761,807,2858409.0
20000125,789,826,764,770,1532280.0
20000126,801,801,751,776,1033169.0
20000127,792,882,776,832,6668656.0
20000128,851,863,813,829,2272168.0
20000131,807,857,807,829,1877583.0
20000201,816,838,798,801,1788841.0
20000202,810,900,801,848,4316927.0
20000203,848,869,826,832,1694946.0
20000207,838,866,826,848,2422111.0
20000208,891,910,832,860,4563502.0
20000209,863,922,863,885,4271348.0
20000210,894,910,823,857,3560128.0
20000211,851,959,807,910,9398866.0
20000214,900,928,844,851,4324335.0
20000215,854,857,764,782,2258800.0
20000216,764,795,751,795,2497484.0
20000217,807,875,798,848,6214641.0
20000218,869,972,857,972,10754791.0
20000221,1000,1115,975,1115,22496369.0
20000222,1142,1192,962,1083,14001828.0
20000223,1056,1155,1024,1043,9077561.0
20000224,1062,1096,1043,1068,6111727.0
20000225,1056,1087,997,1012,5036039.0
20000228,975,1000,925,944,3303405.0
20000229,944,1031,931,950,4212241.0
20000302,993,1090,993,1090,5596189.0
20000303,1124,1174,1043,1056,9703422.0
20000306,1161,1161,1074,1093,4212402.0
20000307,1080,1239,1068,1149,6336721.0
20000308,1105,1174,1080,1174,4404863.0
20000309,1186,1236,1142,1142,5053916.0
20000310,1149,1167,1105,1142,4373457.0
20000313,1149,1211,1118,1167,6855642.0
20000314,1056,1149,1024,1074,2959391.0
20000315,1024,1024,938,938,2819434.0
20000316,981,1056,950,950,3800422.0
20000317,969,993,907,910,1969062.0
20000320,931,944,907,913,1424051.0
20000321,919,934,894,900,1310346.0
20000322,907,953,894,919,2170864.0
20000323,944,969,900,900,2457221.0
20000324,919,975,888,950,4038462.0
20000327,975,993,944,956,2139136.0
20000328,956,969,919,919,1897070.0
20000329,931,953,882,882,1938461.0
20000330,882,900,851,863,1257520.0
20000331,829,888,829,829,1851975.0
20000403,829,851,795,826,2127540.0
20000404,838,851,807,823,1374929.0
20000406,829,838,798,813,885160.0
20000407,841,882,829,838,2282315.0
20000410,844,925,807,888,4506811.0
20000411,882,882,832,838,1158954.0
20000412,851,851,816,816,1320331.0
20000414,807,826,789,804,1035746.0
20000417,695,745,686,686,2910108.0
20000418,745,745,702,708,2428875.0
20000419,751,761,714,736,1780305.0
20000420,714,733,714,726,785305.0
20000421,739,758,717,745,1176992.0
20000424,751,795,723,754,2175213.0
20000425,751,754,733,733,720883.0
20000426,745,764,702,702,1057489.0
20000427,655,699,652,658,1070856.0
20000428,658,695,658,671,1446760.0
20000502,689,708,686,686,1200506.0
